PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,JUMLAH_BKR,BULAN
SULAWESI BARAT,MAMUJU,SIMBORO,PATI'DI,1,JANUARI
SULAWESI BARAT,MAMUJU,SIMBORO,RANGAS,1,JANUARI
SULAWESI BARAT,MAMUJU,SIMBORO,SALETTO,1,JANUARI
SULAWESI BARAT,MAMUJU,SIMBORO,SIMBORO,1,JANUARI
SULAWESI BARAT,MAMUJU,SIMBORO,SUMARE,1,JANUARI
SULAWESI BARAT,MAMUJU,SIMBORO,TAPANDULLU,1,JANUARI
SULAWESI BARAT,MAMUJU,TAPALANG,BELA,1,JANUARI
SULAWESI BARAT,MAMUJU,TAPALANG,DAYANGINNA,1,JANUARI
SULAWESI BARAT,MAMUJU,TAPALANG,GALUNG,1,JANUARI
SULAWESI BARAT,MAMUJU,TAPALANG,KASAMBANG,1,JANUARI
SULAWESI BARAT,MAMUJU,TAPALANG,KOPEANG,1,JANUARI
SULAWESI BARAT,MAMUJU,TAPALANG,OROBATU,1,JANUARI
SULAWESI BARAT,MAMUJU,TAPALANG,RANTEDODA,1,JANUARI
SULAWESI BARAT,MAMUJU,TAPALANG,TAAN,1,JANUARI
SULAWESI BARAT,MAMUJU,TAPALANG,TAKANDEANG,1,JANUARI
SULAWESI BARAT,MAMUJU,TAPALANG,TAMPALANG,1,JANUARI
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,AHU,1,JANUARI
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,DUNGKAIT,1,JANUARI
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,LABUANG RANO,1,JANUARI
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,LEBANI,1,JANUARI
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,PANGASAAN,1,JANUARI
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,PASABU,1,JANUARI
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,TANETE PAO,1,JANUARI
SULAWESI BARAT,MAMUJU,TOMMO,BUANA SAKTI,1,JANUARI
SULAWESI BARAT,MAMUJU,TOMMO,CAMPALOGA,1,JANUARI
SULAWESI BARAT,MAMUJU,TOMMO,KAKULLASANG,1,JANUARI
SULAWESI BARAT,MAMUJU,TOMMO,KALEPU,1,JANUARI
SULAWESI BARAT,MAMUJU,TOMMO,LELING,1,JANUARI
SULAWESI BARAT,MAMUJU,TOMMO,LELING BARAT,1,JANUARI
SULAWESI BARAT,MAMUJU,TOMMO,LELING UTARA,1,JANUARI
SULAWESI BARAT,MAMUJU,TOMMO,MALINO,1,JANUARI
